도시락이름,가격
한입 족발 도시락,"8,500"
한입 불족발 도시락,"8,500"
토네이도 소세지 파스타,"5,500"
트리플 치즈 파스타,"5,500"
토마토 미트 파스타,"4,500"
"매화(치킨, 연어구이)","10,000"
매화(순살 고등어 간장구이),"10,000"
진달래,"7,000"
개나리(순살 고등어 간장구이),"8,000"
돈까스도련님고기고기,"5,800"
탕수육도련님고기고기,"5,800"
새치 고기고기,"6,200"
돈치 고기고기,"5,400"
숯불직화구이,"6,500"
소불고기,"5,000"
메가치킨제육,"7,000"
칠리 찹쌀탕수육도련님,"4,200"
동백,"5,500"
치킨제육,"4,500"
돈까스도련님,"4,200"
제육볶음,"4,100"
돈치스팸 도시락,"4,700"
제육 김치찌개 정식,"8,200"
제육 김치 부대찌개 정식,"8,500"
돈치스팸 김치 부대찌개 정식,"8,500"
빅치킨마요 김치 부대찌개 정식,"7,400"
치킨마요 김치 부대찌개 정식,"6,800"
돈치스팸 김치찌개 정식,"8,200"
빅치킨마요 김치찌개 정식,"7,000"
치킨마요 김치찌개 정식,"6,400"
메가스팸마요,"5,600"
스팸마요,"3,600"
메가치킨마요,"5,500"
왕치킨마요,"4,500"
빅치킨마요,"3,800"
치킨마요,"3,200"
참치마요,"3,000"
돈치마요,"3,600"
치즈 카레도시락,"4,100"
돈까스 카레,"4,200"
3종치즈 김치볶음밥,"4,800"
스팸 김치볶음밥,"4,700"
김치볶음밥,"3,900"
스팸철판볶음밥,"4,500"
소불고기 철판볶음밥,"4,500"
묵은지 김치찌개,"4,500"
김치 부대찌개,"5,800"
반찬 김치 부대찌개,"4,500"
숯불직화구이 덮밥,"5,900"
마파두부 덮밥,"5,000"
왕카레돈까스덮밥,"5,700"
새우돈까스 덮밥,"3,900"
돈까스 덮밥,"3,800"
소불고기 감초고추장 비빔밥,"5,000"
시골제육 두부강된장 비빔밥,"5,000"
참치야채 감초고추장,"3,200"
튼튼도시락,"5,000"
반찬 계란말이,"2,500"
반찬 치즈계란말이,"3,000"
반찬 묵은지김치찌개,"4,000"
반찬 카레,"2,600"
반찬 소불고기,"3,900"
반찬 순살 고등어데리야끼,"3,600"
반찬 치킨,"3,300"
반찬 고기고기,"3,200"
반찬 돈까스 도련님,"3,500"
반찬 제육볶음,"3,100"
반찬 토네이도 소세지,"2,600"
반찬 반달돈까스,"2,600"
뉴 감자고로케,"2,700"
미니 찹쌀핫도그,"2,500"
미니 찹쌀탕수육,"2,200"
케이준후라이,"1,500"
고메이 크림 고로케,"3,500"
토네이도 소세지 튀김세트,"2,900"
후라이드 순살(중),"7,000"
후라이드 순살(소)_양념치킨소스,"3,500"
후라이드 순살(소)_케이준소스,"3,500"
찹쌀탕수육박스(대),"10,000"
찹쌀탕수육박스(중),"5,000"
오리지널 닭강정(중),"7,500"
오리지널 닭강정(소),"2,900"
치킨 BOX(대) ,"10,000"
치킨BOX(중)_양식소스,"5,000"
치킨BOX(중)_타르타르소스,"5,000"
오징어젓갈,400
오이지무침,700
한솥 두부강된장소스,"1,800"
한솥 감초볶음고추장소스,500
볶음김치,400
김치,300
무말랭이 무침,300
한솥밥,"1,000"
현미밥,"1,700"
리얼 티라미수 찰떡,"1,500"
리얼꿀 미니호떡,"2,200"
아이스 애플망고,"1,500"
