순위,제목,아티스트
1,TOMBOY,(여자)아이들
2,GANADARA (Feat. 아이유),박재범
3,Feel My Rhythm,Red Velvet (레드벨벳)
4,듣고 싶을까,MSG워너비(M.O.M)
5,사랑은 늘 도망가,임영웅
6,INVU,태연 (TAEYEON)
7,취중고백,김민석 (멜로망스)
8,사랑인가 봐,멜로망스
9,RUN2U,STAYC(스테이씨)
10,언제나 사랑해,케이시 (Kassy)
11,SMILEY (Feat. BIBI),YENA (최예나)
12,ELEVEN,IVE (아이브)
13,어제처럼,폴킴
14,다정히 내 이름을 부르면,"경서예지, 전건호"
15,"회전목마 (Feat. Zion.T, 원슈타인) (Prod. Slom)",sokodomo
16,존재만으로,원슈타인
17,신호등,이무진
18,Step Back,GOT the beat
19,"너, 너 (N번째 연애 X 휘인 (Whee In))",휘인 (Whee In)
20,이제 나만 믿어요,임영웅
21,STAY,"The Kid LAROI, Justin Bieber"
22,리무진 (Feat. MINO) (Prod. GRAY),BE'O (비오)
23,드라마,아이유
24,strawberry moon,아이유
25,abcdefu,GAYLE
26,다시 사랑한다면 (김필 Ver.),임영웅
27,호랑수월가,탑현
28,내 생에 아름다운,이예준
29,Next Level,aespa
30,눈이 오잖아(Feat.헤이즈),이무진
31,그대라는 사치,임영웅
32,사랑인걸,한동근
33,Counting Stars (Feat. Beenzino),BE'O (비오)
34,별빛 같은 나의 사랑아,임영웅
35,Dreams Come True,aespa
36,잊었니,임영웅
37,Weekend,태연 (TAEYEON)
38,HERO,임영웅
39,Dynamite,방탄소년단
40,끝사랑,임영웅
41,Starlight,태일 (TAEIL)
42,너를 생각해,주시크 (Joosiq)
43,Butter,방탄소년단
44,Savage,aespa
45,바라만 본다,MSG워너비(M.O.M)
46,OHAYO MY NIGHT,"디핵 (D-Hack), PATEKO (파테코)"
47,라일락,아이유
48,만남은 쉽고 이별은 어려워 (Feat. Leellamarz) (Prod. TOIL),베이식 (Basick)
49,Permission to Dance,방탄소년단
50,Bk Love,임영웅
51,찰나가 영원이 될 때 (The Eternal Moment),마크툽 (MAKTUB)
52,With,"김태리, 남주혁, 보나(우주소녀), 최현욱, 이주명"
53,Celebrity,아이유
54,"사이렌 Remix (Feat. UNEDUCATED KID, Paul Blanco)",호미들
55,겨울잠,아이유
56,Can't Control Myself,태연 (TAEYEON)
57,Bad Habits,Ed Sheeran
58,문득,BE'O (비오)
59,꽃 (With 김민석 of 멜로망스),박봄 (Park Bom)
60,"손을 잡는다거나, 같이 걷는다거나",적재
61,My Universe,"Coldplay, 방탄소년단"
62,봄날,방탄소년단
63,서랍,10CM
64,Blueming,아이유
65,헤픈 우연,헤이즈 (Heize)
66,내 손을 잡아,아이유
67,Off My Face,Justin Bieber
68,밤하늘의 별을(2020),경서
69,너의 모든 순간,성시경
70,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴
71,낙하 (with 아이유),AKMU (악뮤)
72,DAYDREAM,하이라이트 (Highlight)
73,고백,멜로망스
74,Christmas Tree,V
75,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤)
76,롤린 (Rollin'),브레이브걸스
77,우리가 헤어져야 했던 이유,비비 (BIBI)
78,오늘도 빛나는 너에게 (To You My Light) (Feat.이라온),마크툽 (MAKTUB)
79,"아주, 천천히",비비 (BIBI)
80,추억은 만남보다 이별에 남아,정동하
81,Stronger (What Doesn't Kill You),Kelly Clarkson
82,계단말고 엘리베이터,임영웅
83,언덕나무,이승윤
84,MY BAG,(여자)아이들
85,잊을 수 있을까,노을
86,벚꽃이 피면 우리 그만 헤어져,벤
87,흰눈,먼데이 키즈 (Monday Kiz)
88,Dun Dun Dance,오마이걸 (OH MY GIRL)
89,노래 (The Song),비투비
90,네가 없는 밤 (Feat. ASH ISLAND) (Prod. GRAY),BE'O (비오)
91,취기를 빌려 (취향저격 그녀 X 산들),산들
92,작은 것들을 위한 시 (Boy With Luv) (Feat. Halsey),방탄소년단
93,밝게 빛나는 별이 되어 비춰줄게,송이한
94,너 아니면 안돼,먼데이 키즈 (Monday Kiz)
95,늦은 후회,조현아 (어반자카파)
96,O.O,NMIXX
97,그게 더 편할 것 같아 (N번째 연애 X 멜로망스),멜로망스
98,Wake Up (Prod. 코드 쿤스트),"개코, 아우릴고트 (OUREALGOAT), SINCE, 안병웅, Tabber, 조광일"
99,불협화음 (Feat. AKMU) (Prod. GRAY),Mudd the student
100,그래서 그래 (Feat. 윤하),에픽하이 (EPIK HIGH)
